Site,Horizon,s+c ,SE,S+A ,SE,POM ,SE,DOC ,SE,rsoc ,SE,HUM ,LAB 
h2,A ,7.28,2.30,81.41,3.38,9.30,2.02,1.04,0.08,0.61,0.06,88.69,10.34
h2,B,19.55,3.28,67.35,4.75,9.27,1.52,1.82,0.35,1.98,0.70,86.90,11.09
h4,A,11.43,2.14,80.04,3.79,7.61,0.24,1.80,1.08,0.83,0.20,91.46,9.41
h4,B,18.02,7.74,76.52,4.83,4.97,0.59,0.89,0.11,1.09,0.25,94.54,5.86
p0,A,7.15,0.46,88.94,1.71,3.16,1.43,0.81,0.30,0.77,0.08,96.09,3.97
p0,B,15.21,4.22,79.99,5.18,3.77,1.18,1.41,0.12,0.71,0.14,95.20,5.17
s2,A,6.41,0.56,75.79,4.33,16.03,3.37,1.61,0.43,0.72,0.09,82.19,17.64
s2,B,20.52,3.97,71.35,2.04,9.21,0.31,1.22,0.30,1.70,0.16,91.87,10.44
s4,A,6.03,1.28,85.57,3.07,4.13,1.31,1.00,0.26,0.51,0.11,91.60,5.13
s4,B,23.88,4.49,69.18,4.30,5.08,0.87,0.84,0.19,1.18,0.22,93.06,5.91
