treat,hor,s+c,S+A,pom,rsoc,doc
H2,A,5.899466728,87.2350884,5.29826441,0.547718033,1.019462424
H2,A,11.60307396,75.12940716,11.36195363,0.713059337,1.192505914
H2,A,3.940531982,83.11675235,11.42376794,0.524300474,0.994647261
H4,A,7.389974323,87.04364325,4.437415758,0.500683965,0.628282705
H4,A,10.99909263,78.90652531,8.104255619,1.181603449,0.808522985
H4,A,13.87009071,74.03145281,7.330394226,0.817043978,3.95101828
P,A,6.314292815,85.71940036,5.965580506,0.603526788,1.397199531
P,A,7.122191751,89.55702238,1.905011474,0.876271992,0.539502408
P,A,7.853916422,89.26643515,1.530342361,0.82599121,0.523314855
P,A,3.763172193,94.54859515,0.084818135,1.108459136,0.494955383
S2,A,4.699680938,83.86303324,9.498791893,0.598031901,1.340462029
S2,A,7.079360491,69.10253571,20.71586384,0.656327489,2.445912471
S2,A,5.928364913,74.27667432,17.85497592,0.905173855,1.034810987
S4,A,4.498636022,88.89375633,5.584068405,0.365448328,0.658090916
S4,A,5.02990984,88.40047793,5.284050202,0.440318898,0.845243125
S4,A,8.562481906,79.32187415,9.895508704,0.713719483,1.506415757
Y2,A,8.301763741,85.13736679,4.690948825,1.464100922,0.405819717
Y2,A,7.409290087,80.52061021,10.0987706,1.604073112,0.367255996
Y2,A,15.91710469,75.59474607,4.375677213,3.543808213,0.568663819
Y4,A,5.025418687,91.33249409,2.13475173,0.851562594,0.655772903
Y4,A,3.569794635,91.99309203,3.262610749,0.873047601,0.301454986
Y4,A,29.49468227,61.35471951,3.387494191,4.84598228,0.917121746
H2,B,25.33927038,58.06830529,10.95365038,3.362093792,2.276680155
H2,B,13.90593945,73.23973271,10.63330236,1.086790526,1.13423495
H2,B,19.42896638,70.79152297,6.236395868,1.493885088,2.049229689
H4,B,10.32198698,81.75335649,5.937833866,0.891523327,1.095299346
H4,B,10.75203778,82.27063271,5.477327946,0.832164744,0.66783682
H4,B,30.34099253,63.63310537,3.601526326,1.500736938,0.923638832
P,B,12.49515962,79.54730922,5.725180884,0.595973397,1.636376883
P,B,19.61972271,76.52160742,1.413382061,1.209863416,1.235424387
P,B,22.40339473,71.3687738,3.933730314,0.992840388,1.301260772
S2,B,13.65362447,74.93666428,9.025188668,1.675168792,0.709353792
S2,B,23.05899239,64.64683747,8.917107457,1.798079432,1.578983247
S2,B,20.5555799,67.97393423,8.80126741,1.444241038,1.22497742
S4,B,15.64816463,77.51715251,5.076469148,1.056719037,0.701494676
S4,B,29.10187951,61.43816459,6.645789184,1.605677365,1.208489342
S4,B,24.74107035,70.13983319,3.617069037,0.890273459,0.611753965
Y2,B,8.294641106,83.33881539,6.195806252,1.39797322,0.772764028
Y2,B,21.16639722,73.33814238,1.285275457,3.668842184,0.54134276
Y2,B,34.70796773,40.28371043,17.59672502,6.383074525,1.028522296
Y4,B,6.941276996,82.8874992,7.121676476,2.279225282,0.770322041
Y4,B,11.52775009,73.7334183,12.40878286,1.894011679,0.436037064
Y4,B,27.46673157,66.12166421,1.02109384,4.937201749,0.453308629
