Site,Horizon,frac,frav,frase,totc
HL2500,A ,sc,2.72,1.88,49.11174083
HL2500,B,sc,19.56,1.53,28.56908667
HL400,A,sc,10.75,1.03,59.79694
HL400,B,sc,17.14,0.56,18.84203867
SP2500,A,sc,5.9,6.87,45.06978167
SP2500,B,sc,19.09,2.7,26.33737611
SP400,A,sc,6.03,5.39,54.356455
SP400,B,sc,23.16,2.41,22.03064722
SYC2500,A,sc,10.54,2.3,39.83945167
SYC2500,B,sc,21.39,3.24,36.50942222
SYC400,A,sc,12.7,6.23,39.5183375
SYC400,B,sc,15.31,5.08,30.91108444
Pas,A,sc,6.26,1.04,45.26211
Pas,B,sc,18.17,2.2,21.12341
HL2500,A ,sa,81.83,2.9,49.11174083
HL2500,B,sa,67.37,3.1,28.56908667
HL400,A,sa,79.99,1.4,59.79694
HL400,B,sa,75.89,3.53,18.84203867
SP2500,A,sa,75.75,8.25,45.06978167
SP2500,B,sa,69.19,3.84,26.33737611
SP400,A,sa,85.54,5,54.356455
SP400,B,sa,69.7,1.95,22.03064722
SYC2500,A,sa,80.42,2.48,39.83945167
SYC2500,B,sa,65.65,3.79,36.50942222
SYC400,A,sa,81.56,10.62,39.5183375
SYC400,B,sa,74.25,3.96,30.91108444
Pas,A,sa,89.77,2.54,45.26211
Pas,B,sa,75.81,2.25,21.12341
HL2500,A ,pom,9.36,1.66,49.11174083
HL2500,B,pom,9.27,0.91,28.56908667
HL400,A,pom,6.62,0.45,59.79694
HL400,B,pom,5.01,2.75,18.84203867
SP2500,A,pom,16.02,0.33,45.06978167
SP2500,B,pom,8.91,1.24,26.33737611
SP400,A,pom,6.92,0.58,54.356455
SP400,B,pom,5.11,1.02,22.03064722
SYC2500,A,pom,6.39,0.05,39.83945167
SYC2500,B,pom,8.36,0.71,36.50942222
SYC400,A,pom,2.93,3.94,39.5183375
SYC400,B,pom,6.85,2.69,30.91108444
Pas,A,pom,2.37,1.22,45.26211
Pas,B,pom,3.69,1.52,21.12341
HL2500,A ,doc,1.07,0.05,49.11174083
HL2500,B,doc,1.82,0.88,28.56908667
HL400,A,doc,1.8,0.01,59.79694
HL400,B,doc,0.9,0.35,18.84203867
SP2500,A,doc,1.61,0.15,45.06978167
SP2500,B,doc,1.17,0.29,26.33737611
SP400,A,doc,1,0.1,54.356455
SP400,B,doc,0.84,0.1,22.03064722
SYC2500,A,doc,0.45,0.21,39.83945167
SYC2500,B,doc,0.78,0.15,36.50942222
SYC400,A,doc,0.62,0.11,39.5183375
SYC400,B,doc,0.55,0.09,30.91108444
Pas,A,doc,0.74,0.21,45.26211
Pas,B,doc,1.39,0.05,21.12341
HL2500,A ,rsoc,0.6,0.05,49.11174083
HL2500,B,rsoc,1.98,0.16,28.56908667
HL400,A,rsoc,0.83,0.07,59.79694
HL400,B,rsoc,1.07,0.08,18.84203867
SP2500,A,rsoc,0.72,1.08,45.06978167
SP2500,B,rsoc,1.64,0.57,26.33737611
SP400,A,rsoc,0.51,0.17,54.356455
SP400,B,rsoc,1.18,0.15,22.03064722
SYC2500,A,rsoc,2.2,0.08,39.83945167
SYC2500,B,rsoc,3.82,0.18,36.50942222
SYC400,A,rsoc,2.19,1.18,39.5183375
SYC400,B,rsoc,3.04,0.78,30.91108444
Pas,A,rsoc,0.85,0.09,45.26211
Pas,B,rsoc,0.93,0.55,21.12341
