treat,hor,frac,c
pa,A,tot,26.94933
pa,A,S+A,23.11672045
pa,A,rsoc,0.164080654
pa,A,s+c,1.716664966
pa,A,POM,1.621860652
pa,A,DOC,0.379856233
pa,B,tot,12.31240049
pa,B,S+A,9.794183292
pa,B,rsoc,0.073378631
pa,B,s+c,1.611832726
pa,B,POM,0.704907199
pa,B,DOC,0.201477275
spf,A,tot,30.23328
spf,A,S+A,25.36601587
spf,A,rsoc,0.180886454
spf,A,s+c,1.602396941
spf,A,POM,2.87309553
spf,A,DOC,0.405448978
spf,B,tot,8.04678
spf,B,S+A,5.732680914
spf,B,rsoc,0.159448104
spf,B,s+c,2.204247985
spf,B,POM,0.790741415
spf,B,DOC,0.140019334
hlf,A,tot,35.66592
hlf,A,S+A,30.89395131
hlf,A,rsoc,0.215181947
hlf,A,s+c,2.317723101
hlf,A,POM,1.876358764
hlf,A,DOC,0.361038466
hlf,B,tot,19.3312299
hlf,B,S+A,13.68851393
hlf,B,rsoc,0.288863214
hlf,B,s+c,3.756857683
hlf,B,POM,1.205892854
hlf,B,DOC,0.396246725
spf,A,tot,54.0702
spf,A,S+A,37.36209814
spf,A,rsoc,0.354860669
spf,A,s+c,3.827641905
spf,A,POM,11.20057506
spf,A,DOC,1.322446721
spf,B,tot,30.77753532
spf,B,S+A,23.06416355
spf,B,rsoc,0.515586961
spf,B,s+c,4.202341148
spf,B,POM,2.777791479
spf,B,DOC,0.218326396
sps,A,tot,47.26017
sps,A,S+A,41.98275565
sps,A,rsoc,0.172593988
sps,A,s+c,2.124616448
sps,A,POM,2.637244605
sps,A,DOC,0.31080327
sps,B,tot,32.076
sps,B,S+A,24.41108148
sps,B,rsoc,0.332773504
sps,B,s+c,4.92779481
sps,B,POM,1.598641049
sps,B,DOC,0.220909091
hlf,A,tot,33.00768
hlf,A,S+A,24.78156025
hlf,A,rsoc,0.235203811
hlf,A,s+c,3.827293297
hlf,A,POM,3.747759355
hlf,A,DOC,0.393350065
hlf,B,tot,20.5176
hlf,B,S+A,11.8910226
hlf,B,rsoc,0.6884777
hlf,B,s+c,5.188886351
hlf,B,POM,2.243049863
hlf,B,DOC,0.466210526
sps,A,tot,48.04464
sps,A,S+A,42.49174026
sps,A,rsoc,0.211649492
sps,A,s+c,2.417742839
sps,A,POM,2.539901299
sps,A,DOC,0.406285714
sps,B,tot,16.31872
sps,B,S+A,10.00108876
sps,B,rsoc,0.261376979
sps,B,s+c,4.998668239
sps,B,POM,1.081821502
sps,B,DOC,0.196721521
hls,A,tot,59.1948
hls,A,S+A,46.68248635
hls,A,rsoc,0.699057355
hls,A,s+c,7.206313754
hls,A,POM,4.794619974
hls,A,DOC,0.478336399
hls,B,tot,15.78528
hls,B,S+A,12.99739952
hls,B,rsoc,0.131468269
hls,B,s+c,1.69864417
hls,B,POM,0.865327241
hls,B,DOC,0.105507174
hls,A,tot,50.2386
hls,A,S+A,37.24581338
hls,A,rsoc,0.411061331
hls,A,s+c,7.389214404
hls,A,POM,3.687979703
hls,A,DOC,1.987788756
hls,B,tot,21.4144
hls,B,S+A,14.33541997
hls,B,rsoc,0.338089649
hls,B,s+c,7.173381869
hls,B,POM,0.811360566
hls,B,DOC,0.208079591
pa,A,tot,35.24736
pa,A,S+A,31.51292043
pa,A,rsoc,0.30833863
pa,A,s+c,2.506124656
pa,A,POM,0.670326831
pa,A,DOC,0.18983767
pa,B,tot,15.37536
pa,B,S+A,10.95380938
pa,B,rsoc,0.152382951
pa,B,s+c,3.590896774
pa,B,POM,0.603756093
pa,B,DOC,0.199719873
sps,A,tot,40.74138
sps,A,S+A,32.35810706
sps,A,rsoc,0.291150602
sps,A,s+c,3.4929294
sps,A,POM,4.03671665
sps,A,DOC,0.614518541
sps,B,tot,22.69501243
sps,B,S+A,15.92013889
sps,B,rsoc,0.202071725
sps,B,s+c,5.817729167
sps,B,POM,0.820991993
sps,B,DOC,0.138854167
spf,A,tot,38.60784
spf,A,S+A,28.70946126
spf,A,rsoc,0.349868299
spf,A,s+c,2.641303186
spf,A,POM,6.901315175
spf,A,DOC,0.399975715
spf,B,tot,14.15172
spf,B,S+A,9.603326513
spf,B,rsoc,0.204041717
spf,B,s+c,2.904082979
spf,B,POM,1.243439057
spf,B,DOC,0.173064253
hls,A,tot,51.597
hls,A,S+A,44.94693062
hls,A,rsoc,0.258539356
hls,A,s+c,3.815978407
hls,A,POM,3.815978407
hls,A,DOC,0.324427817
hls,B,tot,18.6186
hls,B,S+A,14.94677471
hls,B,rsoc,0.157570992
hls,B,s+c,1.824344549
hls,B,POM,1.049473796
hls,B,DOC,0.193587087
hlf,A,tot,53.91456
hlf,A,S+A,44.49144
hlf,A,rsoc,0.274344
hlf,A,s+c,2.02776
hlf,A,POM,6.08328
hlf,A,DOC,0.500976
hlf,B,tot,26.13546
hlf,B,S+A,19.15465417
hlf,B,rsoc,0.284232286
hlf,B,s+c,3.636871017
hlf,B,POM,2.780966314
hlf,B,DOC,0.2966406
pa,A,tot,24.69096
pa,A,S+A,21.99582
pa,A,rsoc,0.199962
pa,A,s+c,1.91268
pa,A,POM,0.373842
pa,A,DOC,0.116502513
pa,B,tot,18.71424
pa,B,S+A,16.68869872
pa,B,rsoc,0.099968875
pa,B,s+c,1.721111867
pa,B,POM,0.308246366
pa,B,DOC,0.24015047
